year,date_iso,legacy_registration_key,category_code,old_current_category_name,restored_category_name
2008,2008-01-06,Conti08:34phydat.aco:10,14,-ROMA.CASA,-CASA.ROMA
2008,2008-01-30,Conti08:34phydat.aco:18,18,-ROMA.TELEFONO,-TF.ROMA
2008,2008-01-15,Conti08:34phydat.aco:25,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2008,2008-01-12,Conti08:34phydat.aco:26,23,-FONDI.RIPARAZIONI,-RIPAR.FONDI
2008,2008-01-22,Conti08:34phydat.aco:32,16,-ROMA.LUCE,-LUCE.ROMA
2008,2008-01-17,Conti08:34phydat.aco:35,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2008,2008-01-28,Conti08:34phydat.aco:50,30,-ASSICURAZIONI.AUROR,-ASS.AURORA
2008,2008-02-18,Conti08:34phydat.aco:56,26,-FONDI.ACQUA,-ACQUA.FONDI
2008,2008-01-27,Conti08:34phydat.aco:60,24,-FONDI.LUCE,-LUCE.FONDI
2008,2008-01-29,Conti08:34phydat.aco:66,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2008,2008-02-05,Conti08:34phydat.aco:74,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2008,2008-02-21,Conti08:34phydat.aco:75,17,-ROMA.GAS,-GAS.ROMA
2008,2008-01-30,Conti08:34phydat.aco:82,23,-FONDI.RIPARAZIONI,-RIPAR.FONDI
2008,2008-02-08,Conti08:34phydat.aco:87,43,-VESTITI.ML,-VEST.ML
2008,2008-02-05,Conti08:34phydat.aco:89,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2008,2008-02-14,Conti08:34phydat.aco:99,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2008,2008-02-18,Conti08:34phydat.aco:105,42,-VESTITI.ANDREA,-VEST.ANDREA
2008,2008-02-22,Conti08:34phydat.aco:114,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2008,2008-02-23,Conti08:34phydat.aco:115,23,-FONDI.RIPARAZIONI,-RIPAR.FONDI
2008,2008-02-27,Conti08:34phydat.aco:127,30,-ASSICURAZIONI.AUROR,-ASS.AURORA
2008,2008-02-27,Conti08:34phydat.aco:129,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2008,2008-03-25,Conti08:34phydat.aco:136,16,-ROMA.LUCE,-LUCE.ROMA
2008,2008-03-07,Conti08:34phydat.aco:140,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2008,2008-03-30,Conti08:34phydat.aco:148,18,-ROMA.TELEFONO,-TF.ROMA
2008,2008-03-13,Conti08:34phydat.aco:149,15,-ROMA.RIPARAZIONI,-RIPAR.ROMA
2008,2008-03-01,Conti08:34phydat.aco:158,42,-VESTITI.ANDREA,-VEST.ANDREA
2008,2008-01-01,Conti08:34phydat.aco:169,42,-VESTITI.ANDREA,-VEST.ANDREA
2008,2008-03-27,Conti08:34phydat.aco:180,30,-ASSICURAZIONI.AUROR,-ASS.AURORA
2008,2008-04-03,Conti08:34phydat.aco:201,42,-VESTITI.ANDREA,-VEST.ANDREA
2008,2008-04-03,Conti08:34phydat.aco:210,43,-VESTITI.ML,-VEST.ML
